,av_num,title,upload_time,author,view,num_danmaku,reply,favorite,coin,share,like,tags
54,43992735,世界文明史通论【58集】(吴以义：复旦大学),2019-02-18,York1996,7828,38,8,544,25,26,61,"[中世纪基督教欧洲, 两河文明和埃及, 前六到二世纪的印度文明和佛教的起来, 探险时代, 古代中土文化]"
100,23819702,半导体器件原理（全）蒋玉龙 复旦大学 微电子器件（收藏关注私信领ppt课件）,2018-05-23,云墨一点,8002,16,6,537,20,27,55,"[考研, 教育, 复旦大学, 蒋玉龙, 半导体器件, 微电子器件]"
43,44515411,日本文明的历史变迁【43集】(冯玮：复旦大学),2019-02-23,York1996,5049,6,9,522,24,21,58,"[日本“西学”的演变, 儒教和律令制国家的形成, 日本的神道, 东亚秩序的演变, 日本的“三次远航”, 大和魂：武士道, 从九一八到太平洋战争, 日本的佛教, 日本文明的历史变迁—引言, 日本“国家三要素”的形成]"
86,40823200,【电子】半导体器件原理 复旦大学 蒋玉龙主讲,2019-01-15,言身寸Qc,2849,1,8,518,23,13,59,"[课程, 考研, 考试, 学习, 公开课, 微电子, 复旦, 器件]"
143,16268384,【生物化学】第七版 复旦大学 人卫版,2017-11-12,一良llll,5315,0,9,515,22,28,27,"[学习, 生物]"
48,53242946,【物理】统计力学 - 陈焱 （复旦大学）,2019-05-22,Man-United,2767,0,5,515,53,4,59,"[大学, 学习, 考研, 考试, 物理, 公开课, 陈焱, 大学物理, 统计力学, 复旦大学]"
67,33870372,半导体器件原理-网课专版-高清（复旦大学蒋玉龙教授）,2018-10-14,云墨一点,11345,76,15,468,49,57,107,"[考研, 课程, 教育, 复旦大学, 蒋玉龙, 半导体器件, 微电子器件]"
142,19399851,比较经济学 韦森 复旦,2018-02-10,下蛋狐狸,3652,11,3,468,18,14,20,"[课程, 经济学, 公开课]"
93,29185365,儿科学-复旦大学-桂永浩,2018-08-12,丰耳耳,7548,16,11,460,23,40,44,"[教育, 公开课, 国家精品课程, 儿科学]"
52,52027671,【复旦大学】量子力学,2019-05-13,,2413,5,11,454,63,12,64,"[科学, 课程, 量子力学, 物理, 量子, 物理学, 公开课, 复旦大学, 线上课堂]"
87,37372876,计量经济学【72集】（谢识予   主讲人单位：复旦大学）,2018-12-04,York1996,4769,4,5,447,23,15,39,"[经济学, 概率统计, 回归分析, 时间序列, 多元线性, 定式偏差, 多重共线性, 联立方程组, 面板数据分析, 二元选择模型]"
126,21093480,【复旦有机】王全瑞教授授课视频,2018-03-23,Bourne_C,5324,7,12,430,39,27,58,"[化学, 考试, 学习, 考研, 药学, 医学, 有机化学, 吕以仙]"
